iter	Passed	Remaining
0	46	46642
1	47	23578
2	47	15858
3	48	12005
4	48	9664
5	49	8145
6	49	7048
7	50	6219
8	50	5576
9	51	5061
10	51	4632
11	51	4280
12	52	3984
13	52	3724
14	53	3504
15	54	3338
16	54	3169
17	55	3016
18	55	2879
19	56	2756
20	56	2644
21	57	2542
22	57	2449
23	58	2364
24	58	2279
25	58	2207
26	59	2140
27	59	2078
28	60	2042
29	61	1987
30	61	1937
31	62	1889
32	63	1847
33	63	1807
34	64	1766
35	64	1728
36	64	1688
37	65	1654
38	65	1624
39	66	1596
40	67	1567
41	67	1542
42	68	1515
43	68	1490
44	69	1466
45	69	1442
46	70	1420
47	70	1399
48	71	1378
49	71	1358
50	71	1339
51	72	1321
52	72	1304
53	74	1296
54	74	1278
55	75	1264
56	75	1249
57	75	1234
58	76	1220
59	76	1206
60	77	1192
61	77	1179
62	78	1164
63	78	1150
64	79	1146
65	80	1134
66	80	1122
67	81	1111
68	81	1102
69	82	1092
70	82	1082
71	83	1072
72	83	1060
73	83	1050
74	84	1039
75	84	1031
76	85	1022
77	85	1013
78	86	1005
79	86	997
80	87	989
81	87	982
82	88	975
83	88	967
84	89	958
85	89	951
86	90	944
87	90	937
88	90	931
89	91	924
90	91	918
91	92	912
92	92	906
93	93	900
94	93	894
95	94	889
96	94	884
97	95	877
98	95	873
99	96	867
100	96	862
101	97	857
102	97	852
103	98	849
104	99	847
105	100	846
106	101	845
107	102	842
108	102	839
109	103	837
110	104	836
111	105	834
112	106	832
113	106	830
114	107	828
115	108	827
116	109	825
117	110	823
118	110	821
119	111	819
120	112	818
121	113	816
122	114	814
123	115	812
124	115	807
125	115	803
126	116	801
127	117	799
128	118	797
129	119	797
130	120	800
131	121	798
132	122	796
133	123	795
134	123	793
135	124	791
136	125	789
137	126	788
138	127	786
139	127	785
140	128	783
141	129	782
142	130	780
143	130	778
144	131	777
145	132	776
146	133	774
147	134	773
148	135	771
149	135	767
150	136	767
151	136	763
152	137	761
153	138	758
154	138	755
155	139	753
156	140	752
157	140	750
158	141	749
159	142	747
160	143	746
161	143	744
162	144	741
163	144	738
164	145	736
165	145	732
166	146	729
167	147	728
168	147	726
169	148	723
170	148	720
171	148	717
172	149	713
173	149	711
174	150	708
175	150	705
176	151	703
177	151	700
178	152	698
179	152	695
180	152	692
181	153	689
182	153	687
183	154	684
184	154	682
185	155	680
186	155	677
187	156	674
188	156	672
189	157	670
190	157	667
191	158	665
192	158	663
193	159	661
194	159	658
195	160	656
196	160	654
197	161	652
198	161	650
199	162	648
200	162	645
201	162	643
202	163	641
203	163	639
204	164	636
205	164	635
206	165	632
207	165	630
208	166	628
209	166	626
210	166	624
211	167	622
212	168	621
213	168	619
214	169	617
215	169	615
216	170	614
217	170	612
